AZ,04,08410,Thatcher Unified District,7465,1490,282
AZ,04,08490,Tolleson Elementary District,16983,2791,740
AZ,04,08520,Tolleson Union High School District,185916,12581,2238
AZ,04,08550,Toltec Elementary District,16251,1970,367
AZ,04,08600,Tombstone Unified District,7256,1021,269
AZ,04,05760,Tonto Basin Elementary District,1631,102,33
AZ,04,08640,Topock Elementary District,2589,153,34
AZ,04,08680,Tuba City Unified District,16821,3668,1336
AZ,04,08800,Tucson Unified District,493164,72075,16876
AZ,04,08820,Union Elementary District,15764,2852,560
AZ,04,08850,Vail Unified District,54811,10853,652
AZ,04,08880,Valentine Elementary District,258,37,7
AZ,04,08910,Valley Union High School District,3700,170,16
AZ,04,00022,Vernon Elementary District,1933,262,60
AZ,04,09030,Walnut Grove Elementary District,110,1,0
AZ,04,09060,Washington Elementary District,254697,29172,8021
AZ,04,09090,Wellton Elementary District,4290,350,112
AZ,04,09120,Wenden Elementary District,817,99,51
AZ,04,09160,Whiteriver Unified District,13004,2986,1154
AZ,04,09190,Wickenburg Unified District,12620,1425,322
AZ,04,09250,Willcox Unified District,8105,1453,329
AZ,04,09310,Williams Unified District,6015,889,263
AZ,04,09360,Williamson Valley Elementary School District,656,58,13
AZ,04,09390,Wilson Elementary District,4346,619,251
AZ,04,09430,Window Rock Unified District,11859,2446,917
AZ,04,09460,Winslow Unified District,11721,2137,641
AZ,04,09510,Yarnell Elementary District,1278,65,24
AZ,04,09540,Young Elementary School District,883,94,30
AZ,04,09570,Yucca Elementary District,710,47,7
AZ,04,09600,Yuma Elementary District,105235,10702,2671
AZ,04,09630,Yuma Union High School District,200774,11908,3123
AR,05,02250,Alma School District,16348,3119,685
AR,05,02280,Alpena School District,3023,540,145
AR,05,02430,Arkadelphia School District,15770,1963,445
AR,05,02550,Armorel School District,1340,305,44
AR,05,02580,Ashdown School District,9141,1458,317
AR,05,02610,Atkins Public Schools,6822,1194,229
AR,05,02670,Augusta School District,3218,467,206
AR,05,02700,Bald Knob School District,7481,1373,334
AR,05,02730,Barton-Lexa School District,2761,513,191
AR,05,00019,Batesville School District,20033,3416,652
AR,05,02790,Bauxite School District,6782,1273,123
AR,05,02820,Bay School District,3256,579,72
AR,05,00032,Bearden School District,3266,522,113
AR,05,02880,Beebe School District,17869,3489,595
AR,05,02960,Benton School District,31894,5736,581
AR,05,03060,Bentonville Public Schools,89793,17975,1077
AR,05,03090,Bergman School District,5016,903,129
AR,05,03150,Berryville Public Schools,11052,2098,497
AR,05,03240,Bismarck Public Schools,6303,993,195
AR,05,03300,Blevins School District,3488,623,164
AR,05,03320,Blytheville School District,15514,2918,984
AR,05,03450,Booneville School District,7478,1198,324
AR,05,03480,Bradford School District,2972,530,97
AR,05,03630,Brinkley School District,3897,595,256
AR,05,03640,Brookland School District,9597,1784,205
AR,05,03690,Bryant Public Schools,51666,9719,880
AR,05,03710,Buffalo Island Central School District,4999,858,171
AR,05,03750,Cabot Public Schools,51462,10362,1289
AR,05,03770,Caddo Hills School District,3550,562,204
AR,05,03840,Calico Rock School District,3588,403,89
AR,05,06060,Camden Fairview School District,18010,2888,779
AR,05,03960,Carlisle School District,4483,765,92
AR,05,04050,Cave City School District,8496,1538,434
AR,05,00070,Cedar Ridge School District,5590,1021,203
AR,05,04080,Cedarville School District,5334,993,272
AR,05,06690,Centerpoint School District,5366,950,248
AR,05,04200,Charleston School District,4918,867,133
AR,05,04350,Clarendon School District,3225,462,174
AR,05,04380,Clarksville School District,14651,2749,582
AR,05,00067,Cleveland County School District,5198,890,182
AR,05,04410,Clinton School District,8714,1362,366
AR,05,04560,Concord Public Schools,4364,708,131
AR,05,04590,Conway Public Schools,76550,11851,1735
AR,05,00009,Corning Public Schools,6674,1106,277
AR,05,00405,Cossatot River School District,5193,999,356
AR,05,04680,Cotter School District,4519,662,164
AR,05,04740,County Line School District,3369,575,141
AR,05,07740,Cross County School District,3492,551,179
AR,05,04800,Crossett School District,11157,1838,509
AR,05,04860,Cutter-Morning Star School District,3681,661,186
AR,05,04890,Danville School District,3939,845,231
AR,05,04930,Dardanelle Public Schools,10103,1785,395
AR,05,00049,De Queen School District,13321,2762,745
AR,05,00001,DeWitt School District,8280,1272,308
AR,05,04980,Decatur School District,4058,765,128
AR,05,00072,Deer/Mount Judea School District,2242,317,70
AR,05,05170,Dermott School District,3422,467,184
AR,05,05190,Des Arc Public Schools,3392,521,101
AR,05,05340,Dierks School District,2834,465,90
AR,05,05410,Dollarway School District,11716,1478,521
AR,05,05430,Dover School District,8197,1424,215
AR,05,05470,Drew Central School District,6371,930,194
AR,05,05500,Dumas School District,10954,1420,477
AR,05,05550,Earle School District,3036,643,199
AR,05,05580,East End School District,4019,685,145
AR,05,00048,East Poinsett County School District,3539,619,218
AR,05,05680,El Dorado School District,24892,4350,1209
AR,05,05760,Elkins School District,5688,1127,118
AR,05,00068,Emerson-Taylor-Bradley School District,5403,836,173
AR,05,05850,England School District,4475,770,203
AR,05,05970,Eureka Springs School District,8070,762,200
AR,05,06090,Farmington School District,12630,2555,242
AR,05,06120,Fayetteville School District,89675,11466,1420
AR,05,06150,Flippin School District,7142,905,240
AR,05,06210,Fordyce School District,5220,906,199
AR,05,06240,Foreman School District,2608,465,92
AR,05,06270,Forrest City School District,21686,3260,1314
AR,05,06330,Fort Smith Public Schools,91131,15610,4002
AR,05,06360,Fouke School District,5849,1150,178
AR,05,06420,Fountain Lake School District,15427,1295,237
AR,05,04110,Genoa Central School District,4741,965,216
AR,05,06540,Gentry Public Schools,9155,1897,163
AR,05,06630,Glen Rose School District,5467,978,226
AR,05,00029,Gosnell School District,5302,1143,224
AR,05,06840,Gravette School District,17712,2423,235
AR,05,06870,Green Forest School District,7516,1466,294
AR,05,06900,Greenbrier School District,16475,3454,408
AR,05,13080,Greene County Technical School District,20071,3732,630
AR,05,06930,Greenland Public Schools,7228,1367,254
AR,05,06990,Greenwood School District,20225,3892,522
AR,05,07110,Gurdon School District,4295,742,165
AR,05,07140,Guy-Perkins Schools,2745,529,70
AR,05,07170,Hackett Public Schools,6207,1111,286
AR,05,00042,Hamburg School District,8837,1562,386
AR,05,07230,Hampton School District,3970,549,105
AR,05,07290,Harmony Grove School District,4814,881,246
AR,05,07320,Harmony Grove School District,6292,1162,80
AR,05,07350,Harrisburg School District,7084,1270,276
AR,05,07380,Harrison School District,21030,3287,603
AR,05,07530,Hazen School District,4711,707,177
AR,05,07560,Heber Springs School District,11624,1661,369
AR,05,07620,Hector School District,3738,660,142
AR,05,07680,Helena-West Helena School District,12233,2326,1532
AR,05,07710,Hermitage School District,2686,503,132
AR,05,07770,Highland School District,12491,1696,598
AR,05,00071,Hillcrest School District,3681,658,177
AR,05,07840,Hope School District,15334,2914,981
AR,05,07860,Horatio School District,3993,833,240
AR,05,07890,Hot Springs School District,31124,3973,1347
AR,05,07990,Hoxie School District,3715,644,201
AR,05,08130,Huntsville School District,15228,2623,622
AR,05,00021,Izard Cty Consolidated Schools,4826,593,239
AR,05,13230,Jackson County School District,4392,722,136
AR,05,00419,Jacksonville North Pulaski School District,39579,6684,1390
AR,05,08240,Jasper School District,5771,888,295
AR,05,07920,Jessieville School District,7272,775,229
AR,05,08280,Jonesboro Public Schools,39915,6676,1746
AR,05,08340,Junction City School District,2975,520,77
AR,05,08490,Kirby School District,2762,485,116
AR,05,00065,Lafayette County School District,5185,748,279
AR,05,08610,Lake Hamilton School District,25296,4423,806
AR,05,08640,Lakeside School District,8013,1411,529
AR,05,08670,Lakeside School District,18384,2984,399
AR,05,08700,Lamar School District,7131,1155,305
AR,05,08730,Lavaca Public Schools,5093,913,153
AR,05,00082,Lawrence County School District,7873,1185,235
AR,05,03420,Lead Hill School District,2832,405,150
AR,05,09360,Lee County School District,9176,1240,494
AR,05,08940,Lincoln School District,8020,1631,265
AR,05,09000,Little Rock School District,184025,30012,5828
AR,05,09060,Lonoke School District,10545,1802,324
AR,05,09150,Magazine Schools,2612,470,144
AR,05,09190,Magnet Cove School District,3274,577,66
AR,05,00044,Magnolia School District,20255,2908,1028
AR,05,09240,Malvern Special School District,18562,2702,614
AR,05,09270,Mammoth Spring Schools,3069,481,138
AR,05,00046,Manila School District,4722,836,216
AR,05,09330,Mansfield School District,5834,1077,169
AR,05,09390,Marion School District,20545,3983,767
